seq,folio,filename,canvas uri
210,105v,CF-416,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-105v.json
211,106r,CF-122,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-106r.json
212,106v,CF-415,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-106v.json
213,107r,CF-123,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-107r.json
214,107v,CF-414,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-107v.json
215,108r,CF-124,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-108r.json
216,108v,CF-413,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-108v.json
217,109r,CF-125,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-109r.json
218,109v,CF-412,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-109v.json
219,110r,CF-126,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-110r.json
220,110v,CF-411,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-110v.json
221,111r,CF-127,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-111r.json
222,111v,CF-410,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-111v.json
223,112r,CF-128,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-112r.json
224,112v,CF-409,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-112v.json
225,113r,CF-129,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-113r.json
226,113v,CF-408,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/canvas/folio-113v.json
